year,life_expectancy
2000,79.2
2001,79.5
2002,79.6
2003,79.8
2004,80.1
2005,80.3
2006,80.3
2007,80.5
2008,80.7
2009,80.9
2010,81.2
2011,81.4
2012,81.6
2013,81.8
2014,82
2015,82.1
